"排名","代號","名稱","市場","股價日期","成交","漲跌價","漲跌幅","面值(元)","股本(億)","發行量(萬張)","市值(億)","成立年數","上市年數","股票期貨","選擇權","權證","公司債","私募股","特別股","產業別","董事長","總經理"
"301",="2340","台亞","市","06/02","50.6","+0.6","+1.2","10","43.9","43.86","222","38.5","27.1","有","","有","","有","","半導體業","王虹東","衣冠君"
"302","00785B","富邦金融投等債","櫃","06/02","36.05","+0.07","+0.19","","","61.55","222","","3.2","","","","","","","N/A","",""
"303","00764B","群益25年美債","櫃","06/02","36.35","+0.23","+0.64","","","60.85","221","","3.4","","","","","","","N/A","",""
"304",="5534","長虹","市","06/02","75.8","+0.2","+0.26","10","29","29.03","220","46.5","20.2","有","","","有","","","建材營造業","李文造","李耀中"
"305",="1215","卜蜂","市","06/02","81.9","-0.2","-0.24","10","26.8","26.8","219","44.8","34.9","","","有","","","","食品工業","鄭武樾","許瑞通"
"306",="2362","藍天","市","06/02","34.15","0","0","10","64.2","64.23","219","38.7","25.2","","","","有","","","電腦及週邊設備業","許崑泰","蔡明賢"
"307",="2401","凌陽","市","06/02","36.8","+0.15","+0.41","10","59.2","59.2","218","31.8","24.7","有","","有","","","","半導體業","黃洲杰","黃洲杰"
"308",="1560","中砂","市","06/02","152","-13","-7.88","10","14.3","14.3","217","57.9","17.3","","","有","","","","電機機械","林伯全","謝榮哲"
"309",="9939","宏全","市","06/02","75.1","+0.4","+0.54","10","28.8","28.78","216","52.9","21.3","有","","有","有","","","其他業","戴宏全","曹世忠"
"310",="5306","桂盟","市","06/02","171","-2","-1.16","10","12.6","12.6","215","33.1","26.4","","","有","有","","","其他業","吳盈進","吳瑞章"
"311",="3413","京鼎","市","06/02","222.5","+0.5","+0.23","10","9.6","9.66","215","21.1","6.9","","","有","有","有","","半導體業","劉揚偉","邱耀銓"
"312",="1707","葡萄王","市","06/02","144.5","+2.5","+1.76","10","14.8","14.81","214","51.2","39.5","有","","","","有","","生技醫療業","曾盛麟","曾盛麟"
"313",="8478","東哥遊艇","市","06/02","239","+3","+1.27","10","8.89","8.89","212","44.4","4.5","","","有","","","","其他業","闕慶承","曾雄威"
"314",="6214","精誠","市","06/02","78.8","-0.3","-0.38","10","26.9","26.94","212","25.4","19.4","有","","","","","","資訊服務業","林隆奮","林隆奮"
"315",="6561","是方","櫃","06/02","299","-7","-2.29","10","7.07","7.07","211","31.4","4","","","","","","","通信網路業","吳彥宏","劉耀元"
"316",="3680","家登","櫃","06/02","251","-8","-3.09","10","8.41","8.41","211","24.2","10.8","","","有","","","","半導體業","邱銘乾","林添瑞"
"317",="2597","潤弘","市","06/02","114","+1","+0.88","10","18.5","18.5","211","46.6","12.2","","","有","","","","建材營造業","李志宏","莫惟瀚"
"318",="2539","櫻花建","市","06/02","32.6","-0.1","-0.31","10","64.5","64.48","210","35.1","24.9","","","","有","","","建材營造業","陳正釭","陳世英"
"319","2891B","中信金乙特","市","06/02","63","0","0","","","33.33","210","","4.4","","","","","","","金控業","",""
"320",="1536","和大","市","06/02","74.9","-0.4","-0.53","10","28","27.95","209","49.4","22.2","有","","有","","","","汽車工業","沈國榮","陳俊智"
"321",="8422","可寧衛","市","06/02","192","-1","-0.52","10","10.9","10.89","209","23.1","10.7","","","有","","","","其他業","楊慶祥","楊永發"
"322",="4736","泰博","櫃","06/02","224.5","-2","-0.88","10","9.3","9.31","209","24.1","11.5","有","","有","有","","","生技醫療業","陳朝旺","陳朝旺"
"323",="2104","國際中橡","市","06/02","21.2","-0.1","-0.47","10","98.5","98.47","209","49","35.9","","","有","","","","橡膠工業","辜公怡","黃柏松"
"324",="2373","震旦行","市","06/02","87.8","-0.2","-0.23","10","23.6","23.62","207","58.9","30.8","","","","","","","其他電子業","袁蕙華","周銘中"
"325",="1905","華紙","市","06/02","18.8","-0.1","-0.53","10","110","110.3","207","53.9","47.3","","","有","","","","造紙工業","黃鯤雄","陳瑞和/秋山芳廣"
"326",="2501","國建","市","06/02","17.85","-0.05","-0.28","10","116","116","207","57.5","54.6","","","","","","","建材營造業","張清櫆","李虹明"
